Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2310693;GP       ;330;1;AF           ;AF                ;513;23/06/2016;06:10;LC               ;PHC      ;AF           ;AF                ;306;23/06/2016;11:00;LC               ;LFW
2310694;GP       ;777;0;AF           ;AF                ;475;23/06/2016;14:15;LC               ;PTY      ;AF           ;AF                ;338;23/06/2016;16:35;LC               ;BOS
2310695;GP       ;330;0;AF           ;AF                ;503;23/06/2016;11:25;LC               ;CAI      ;AF           ;AF                ;332;23/06/2016;13:45;LC               ;RUH
2310696;GP       ;330;1;AF           ;AF                ;427;23/06/2016;14:25;LC               ;GIG      ;AF           ;AF                ;322;23/06/2016;19:10;LC               ;BOS
2310697;GP       ;777;1;AF           ;AF                ;719;23/06/2016;06:05;LC               ;DKR      ;AF           ;AF                ;264;23/06/2016;13:30;LC               ;ICN
2310698;GP       ;777;1;AF           ;AF                ;805;23/06/2016;06:35;LC               ;COO      ;AF           ;AF                ;258;23/06/2016;14:00;LC               ;SGN
2310699;GP       ;777;1;AF           ;AF                ;257;23/06/2016;06:10;LC               ;SIN      ;AF           ;AF                ;256;23/06/2016;21:00;LC               ;SIN
2310700;GP       ;777;1;AF           ;AF                ;703;23/06/2016;06:30;LC               ;ABJ      ;AF           ;AF                ;276;23/06/2016;13:55;LC               ;NRT
2310701;GP       ;777;1;AF           ;AF                ;275;23/06/2016;16:25;LC               ;NRT      ;AF           ;AF                ;274;23/06/2016;23:30;LC               ;HND
2310702;GP       ;340;0;AF           ;AF                ;673;23/06/2016;11:05;LC               ;MSP      ;AF           ;AF                ;378;23/06/2016;13:30;LC               ;DTW
2310703;GP       ;340;1;AF           ;AF                ;499;23/06/2016;06:20;LC               ;SXM      ;AF           ;AF                ;368;23/06/2016;10:35;LC               ;CCS
2310704;GP       ;777;0;AF           ;AF                ;565;23/06/2016;19:45;LC               ;BEY      ;AF           ;AF                ;382;23/06/2016;23:25;LC               ;PEK
2310705;GP       ;777;0;AF           ;AF                ;347;23/06/2016;08:25;LC               ;YUL      ;AF           ;AF                ;342;23/06/2016;11:35;LC               ;YUL
2310706;GP       ;777;1;AF           ;AF                ;107;23/06/2016;05:55;LC               ;CAN      ;AF           ;AF                ;344;23/06/2016;14:15;LC               ;YUL
2310707;GP       ;777;0;AF           ;AF                ;401;23/06/2016;11:15;LC               ;SCL      ;AF           ;AF                ;356;23/06/2016;13:55;LC               ;YYZ
2310708;GP       ;777;1;AF           ;AF                ;349;23/06/2016;11:35;LC               ;YUL      ;AF           ;AF                ;348;23/06/2016;19:10;LC               ;YUL
2310709;GP       ;777;1;AF           ;AF                ;85;23/06/2016;16:45;LC               ;SFO      ;AF           ;AF                ;442;23/06/2016;23:35;LC               ;GIG
2310711;MP       ;320;1;AF           ;AF                ;487;17/06/2016;05:30;LC               ;AMM      ;AF           ;AF                ;452;23/06/2016;14:45;LC               ;AMM
2310712;GP       ;777;1;AF           ;AF                ;117;23/06/2016;16:35;LC               ;PVG      ;AF           ;AF                ;454;23/06/2016;23:30;LC               ;GRU
2310713;GP       ;777;0;AF           ;AF                ;953;23/06/2016;07:10;LC               ;SSG      ;AF           ;AF                ;456;23/06/2016;10:30;LC               ;GRU
2310714;GP       ;777;1;AF           ;AF                ;117;22/06/2016;16:35;LC               ;PVG      ;AF           ;AF                ;394;23/06/2016;23:20;LC               ;MVD
2310715;GP       ;340;1;AF           ;AF                ;423;21/06/2016;11:15;LC               ;BOG      ;AF           ;AF                ;422;23/06/2016;11:20;LC               ;BOG
2310716;GP       ;777;1;AF           ;AF                ;267;23/06/2016;14:10;LC               ;ICN      ;AF           ;AF                ;406;23/06/2016;23:30;LC               ;SCL
2310717;GP       ;330;1;AF           ;AF                ;339;23/06/2016;06:00;LC               ;LFW      ;AF           ;AF                ;514;23/06/2016;11:00;LC               ;PHC
2310718;GP       ;330;1;AF           ;AF                ;897;23/06/2016;06:30;LC               ;BZV      ;AF           ;AF                ;508;23/06/2016;13:30;LC               ;CAI
2310719;GP       ;330;1;AF           ;AF                ;145;23/06/2016;11:30;LC               ;ORD      ;AF           ;AF                ;558;23/06/2016;16:25;LC               ;NDJ
2310720;GP       ;777;1;AF           ;AF                ;345;23/06/2016;05:40;LC               ;YUL      ;AF           ;AF                ;520;23/06/2016;13:30;LC               ;BSB
2310721;GP       ;777;1;AF           ;AF                ;165;23/06/2016;17:00;LC               ;BKK      ;AF           ;AF                ;460;23/06/2016;23:35;LC               ;MRU
2310722;GP       ;777;0;AF           ;AF                ;27;23/06/2016;11:00;LC               ;IAD      ;AF           ;AF                ;474;23/06/2016;13:55;LC               ;PTY
2310723;GP       ;340;0;AF           ;AF                ;524;23/06/2016;08:55;LC               ;OUA      ;AF           ;AF                ;498;23/06/2016;11:05;LC               ;SXM
2310724;GP       ;777;1;AF           ;AF                ;463;23/06/2016;05:40;LC               ;MRU      ;AF           ;AF                ;480;23/06/2016;14:00;LC               ;LIM
2310725;GP       ;777;0;AF           ;AF                ;111;23/06/2016;05:35;LC               ;PVG      ;AF           ;AF                ;566;23/06/2016;09:10;LC               ;BEY
2310726;GP       ;330;1;AF           ;AF                ;149;23/06/2016;06:20;LC               ;LOS      ;AF           ;AF                ;562;23/06/2016;16:30;LC               ;BEY
2310727;GP       ;777;1;AF           ;AF                ;333;23/06/2016;09:10;LC               ;BOS      ;AF           ;AF                ;718;23/06/2016;16:25;LC               ;DKR
2310728;GP       ;340;0;AF           ;AF                ;423;23/06/2016;11:15;LC               ;BOG      ;AF           ;AF                ;694;23/06/2016;13:40;LC               ;MSP
2310729;GP       ;777;1;AF           ;AF                ;381;23/06/2016;05:55;LC               ;PEK      ;AF           ;AF                ;702;23/06/2016;13:55;LC               ;ABJ
2310730;GP       ;330;1;AF           ;AF                ;23;23/06/2016;05:40;LC               ;JFK      ;AF           ;AF                ;770;23/06/2016;13:40;LC               ;CKY
2310731;GP       ;777;0;AF           ;AF                ;969;23/06/2016;09:55;LC               ;PUJ      ;AF           ;AF                ;741;23/06/2016;12:45;LC               ;SDQ
2310732;GP       ;777;0;AF           ;AF                ;457;23/06/2016;08:00;LC               ;GRU      ;AF           ;AF                ;636;23/06/2016;10:40;LC               ;IAH
2310733;GP       ;777;0;AF           ;AF                ;681;23/06/2016;08:10;LC               ;ATL      ;AF           ;AF                ;682;23/06/2016;10:55;LC               ;ATL
2310734;GP       ;777;0;AF           ;AF                ;689;23/06/2016;11:10;LC               ;ATL      ;AF           ;AF                ;688;23/06/2016;13:50;LC               ;ATL
2310735;GP       ;777;0;AF           ;AF                ;11;23/06/2016;11:10;LC               ;JFK      ;AF           ;AF                ;662;23/06/2016;13:55;LC               ;DXB
2310736;MP       ;318;0;AF           ;AF                ;1123;23/06/2016;08:55;MC               ;MUC      ;AF           ;AF                ;7652;23/06/2016;10:05;MC               ;LYS
2310737;3N       ;E70          ;0;A5           ;AF                ;7639;23/06/2016;15:40;MC               ;RNS      ;A5           ;AF                ;7656;23/06/2016;16:20;MC               ;BIQ
2310738;3N       ;E70          ;0;A5           ;AF                ;1093;23/06/2016;08:10;MC               ;BSL      ;A5           ;AF                ;7654;23/06/2016;08:50;MC               ;BIQ
2310739;MP       ;318;0;AF           ;AF                ;1127;23/06/2016;11:50;MC               ;VCE      ;AF           ;AF                ;7644;23/06/2016;12:45;MC               ;LYS
2310740;MP       ;318;0;AF           ;AF                ;1741;23/06/2016;15:55;MC               ;AMS      ;AF           ;AF                ;7646;23/06/2016;16:50;MC               ;LYS
2310741;MP       ;321;0;AF           ;AF                ;1739;23/06/2016;18:10;MC               ;VIE      ;AF           ;AF                ;7648;23/06/2016;19:10;MC               ;LYS
2310742;MP       ;321;0;AF           ;AF                ;7663;23/06/2016;12:00;MC               ;MRS      ;AF           ;AF                ;7664;23/06/2016;12:55;MC               ;MRS
2310743;MP       ;321;0;AF           ;AF                ;7665;23/06/2016;14:40;MC               ;MRS      ;AF           ;AF                ;7666;23/06/2016;15:35;MC               ;MRS
2310744;MP       ;320;1;AF           ;AF                ;1313;22/06/2016;22:10;MC               ;LIN      ;AF           ;AF                ;7660;23/06/2016;07:20;MC               ;MRS
2310745;MP       ;320;0;AF           ;AF                ;7711;23/06/2016;08:45;MC               ;NCE      ;AF           ;AF                ;7662;23/06/2016;09:35;MC               ;MRS
2310746;MP       ;319;0;AF           ;AF                ;1851;23/06/2016;18:00;MC               ;CPH      ;AF           ;AF                ;7626;23/06/2016;19:00;MC               ;BOD
2310747;MP       ;319;0;AF           ;AF                ;1001;23/06/2016;12:15;MC               ;MAD      ;AF           ;AF                ;7624;23/06/2016;13:10;MC               ;BOD
2310748;MP       ;320;0;AF           ;AF                ;1401;23/06/2016;09:10;MC               ;MAD      ;AF           ;AF                ;7622;23/06/2016;10:00;MC               ;BOD
2310749;MP       ;321;0;AF           ;AF                ;7651;23/06/2016;07:50;MC               ;LYS      ;AF           ;AF                ;7620;23/06/2016;08:45;MC               ;BOD
2310750;MP       ;320;0;AF           ;AF                ;7721;23/06/2016;07:25;MC               ;NTE      ;AF           ;AF                ;7640;23/06/2016;08:40;MC               ;LYS
2310751;3N       ;E70          ;0;A5           ;AF                ;1373;23/06/2016;20:00;MC               ;ABZ      ;A5           ;AF                ;7638;23/06/2016;20:45;MC               ;RNS
2310752;MP       ;321;0;AF           ;AF                ;1801;23/06/2016;20:30;MC               ;MAD      ;AF           ;AF                ;7630;23/06/2016;21:25;MC               ;BOD
2310753;MP       ;319;0;AF           ;AF                ;1025;23/06/2016;15:25;MC               ;LIS      ;AF           ;AF                ;7634;23/06/2016;16:15;MC               ;BOD
2310754;MP       ;321;0;AF           ;AF                ;1449;23/06/2016;08:40;MC               ;BCN      ;AF           ;AF                ;7720;23/06/2016;09:35;MC               ;NTE
2310755;MP       ;320;0;AF           ;AF                ;7731;23/06/2016;20:00;MC               ;NTE      ;AF           ;AF                ;7728;23/06/2016;21:10;MC               ;NTE
2310756;MP       ;318;0;AF           ;AF                ;1115;23/06/2016;11:45;MC               ;ZRH      ;AF           ;AF                ;7724;23/06/2016;12:40;MC               ;NTE
2310757;MP       ;320;0;AF           ;AF                ;7709;23/06/2016;19:55;MC               ;NCE      ;AF           ;AF                ;7712;23/06/2016;21:00;MC               ;NCE
2310758;MP       ;321;0;AF           ;AF                ;7701;23/06/2016;12:00;MC               ;NCE      ;AF           ;AF                ;7714;23/06/2016;12:55;MC               ;NCE
