Stay ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date ;Arr_Hour;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date ;Dep_Hour;Dep_CourrierCode ;Dep_Stop ;Parking 1 ;Contact 1 ;Zone 1 ;Start Date 1 ;Start Hour 1 ;End Date 1 ;End Hour 1 ;Parking 2 ;Contact 2 ;Zone 2 ;Start Date 2 ;Start Hour 2 ;End Date 2 ;End Hour 2 ;Parking 3 ;Contact 3 ;Zone 3 ;Start Date 3 ;Start Hour 3 ;End Date 3 ;End Hour 3 ;Parking 4 ;Contact 4 ;Zone 4 ;Start Date 4 ;Start Hour 4 ;End Date 4 ;End Hour 4 
3301201;MP;319;0;AF;AF;1041;09/08/2022;16:35;MC;JTR;AF;AF;7668;09/08/2022;17:25;MC;MRS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301224;MP;321;0;AF;AF;7651;09/08/2022;07:05;MC;LYS;AF;AF;7348;09/08/2022;08:05;MC;BOD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301241;MP;319;0;AF;AF;1429;09/08/2022;12:30;MC;OPO;AF;AF;7666;09/08/2022;13:35;MC;MRS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301260;MP;319;0;AF;AF;7665;09/08/2022;17:10;MC;MRS;AF;AF;1022;09/08/2022;18:10;MC;MUC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301275;MP;223;0;AF;AF;1329;09/08/2022;19:45;MC;BLQ;AF;AF;1176;09/08/2022;20:45;MC;HEL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301279;MP;319;0;AF;AF;1367;09/08/2022;13:35;MC;FLR;AF;AF;9454;09/08/2022;14:55;MC;VLC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301288;MP;223;0;AF;AF;1177;09/08/2022;08:20;MC;HEL;AF;AF;1178;09/08/2022;09:15;MC;NAP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301345;MP;318;0;AF;AF;7707;09/08/2022;17:05;MC;NCE;AF;AF;1440;09/08/2022;17:50;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301349;MP;320;0;AF;AF;7713;09/08/2022;11:30;MC;NCE;AF;AF;7724;09/08/2022;12:25;MC;NTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301359;MP;223;0;AF;AF;1213;09/08/2022;11:20;MC;LIN;AF;AF;1850;09/08/2022;12:15;MC;CPH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301388;MP;223;0;AF;AF;1029;09/08/2022;08:20;MC;BLQ;AF;AF;1532;09/08/2022;09:15;MC;ATH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
