Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309975 ;MP       ;319          ;      0 ;AF           ;AF                ;      1355 ;21/06/2016 ;10:55    ;MC               ;ALG      ;AF           ;AF                ;      1596 ;21/06/2016 ;12:35    ;MC               ;CMN
2309976 ;MP       ;319          ;      0 ;AF           ;AF                ;      1359 ;21/06/2016 ;11:45    ;MC               ;RBA      ;AF           ;AF                ;      1588 ;21/06/2016 ;13:15    ;MC               ;OTP
2309977 ;MP       ;318          ;      0 ;AF           ;AF                ;      7739 ;21/06/2016 ;14:30    ;MC               ;BES      ;AF           ;AF                ;      1604 ;21/06/2016 ;15:25    ;MC               ;FCO
2309978 ;MP       ;318          ;      0 ;AF           ;AF                ;      7705 ;21/06/2016 ;11:05    ;MC               ;NCE      ;AF           ;AF                ;      1600 ;21/06/2016 ;12:35    ;MC               ;MAD
2309979 ;MP       ;320          ;      1 ;AF           ;AF                ;      1169 ;20/06/2016 ;22:10    ;MC               ;MAN      ;AF           ;AF                ;      1668 ;21/06/2016 ;07:20    ;MC               ;MAN
2309980 ;MP       ;321          ;      1 ;AF           ;AF                ;      1181 ;20/06/2016 ;22:20    ;MC               ;LHR      ;AF           ;AF                ;      1680 ;21/06/2016 ;07:30    ;MC               ;LHR
2309981 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1887 ;21/06/2016 ;09:30    ;MC               ;EDI      ;A5           ;AF                ;      1686 ;21/06/2016 ;10:10    ;MC               ;EDI
2309982 ;MP       ;319          ;      0 ;AF           ;AF                ;      1789 ;21/06/2016 ;19:00    ;MC               ;SOF      ;AF           ;AF                ;      1652 ;21/06/2016 ;19:45    ;MC               ;KBP
2309983 ;MP       ;318          ;      0 ;AF           ;AF                ;      1367 ;21/06/2016 ;14:35    ;MC               ;FLR      ;AF           ;AF                ;      1666 ;21/06/2016 ;15:30    ;MC               ;FLR
2309984 ;MP       ;318          ;      0 ;AF           ;AF                ;      1067 ;21/06/2016 ;11:50    ;MC               ;FLR      ;AF           ;AF                ;      1710 ;21/06/2016 ;12:45    ;MC               ;HAM
