Stay    ;BodyType ;AircraftType ;NbTowings ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode
3301771 ;MP       ;         321 ;        0 ;      1843 ;09/08/2022 ;13:15    ;MC               ;      1774 ;09/08/2022 ;14:25    ;MC
3301787 ;MP       ;         319 ;        0 ;      7703 ;09/08/2022 ;13:15    ;MC               ;      7730 ;09/08/2022 ;14:05    ;MC
3301800 ;MP       ;         320 ;        0 ;      7663 ;09/08/2022 ;13:20    ;MC               ;      1096 ;09/08/2022 ;14:15    ;MC
3301809 ;MP       ;         223 ;        0 ;      1605 ;09/08/2022 ;20:30    ;MC               ;      1028 ;09/08/2022 ;22:05    ;MC
3301811 ;MP       ;         321 ;        0 ;      1033 ;09/08/2022 ;08:50    ;MC               ;      1842 ;09/08/2022 ;09:55    ;MC
3301813 ;MP       ;         321 ;        0 ;      7709 ;09/08/2022 ;20:00    ;MC               ;      7630 ;09/08/2022 ;21:25    ;MC
3301847 ;MP       ;         320 ;        0 ;      1263 ;09/08/2022 ;15:20    ;MC               ;      7586 ;09/08/2022 ;16:15    ;MC
3301885 ;MP       ;         319 ;        0 ;      7721 ;09/08/2022 ;07:05    ;MC               ;      1830 ;09/08/2022 ;08:15    ;MC
3301917 ;MP       ;         320 ;        0 ;       316 ;09/08/2022 ;10:50    ;MC               ;       319 ;09/08/2022 ;11:40    ;MC
3301918 ;MP       ;         320 ;        0 ;       324 ;09/08/2022 ;17:25    ;MC               ;       325 ;09/08/2022 ;18:15    ;MC
3301920 ;MP       ;         319 ;        0 ;       312 ;09/08/2022 ;14:35    ;MC               ;       313 ;09/08/2022 ;15:25    ;MC
3301921 ;MP       ;         319 ;        0 ;       300 ;09/08/2022 ;10:20    ;MC               ;       305 ;09/08/2022 ;11:10    ;MC
3301922 ;MP       ;         319 ;        0 ;       358 ;09/08/2022 ;20:40    ;MC               ;       311 ;09/08/2022 ;21:30    ;MC
3302126 ;MP       ;         737 ;        1 ;      1229 ;09/08/2022 ;08:00    ;MC               ;      1230 ;09/08/2022 ;10:15    ;MC
3302127 ;MP       ;         737 ;        1 ;      1233 ;09/08/2022 ;12:25    ;MC               ;      1234 ;09/08/2022 ;14:30    ;MC
3302128 ;MP       ;         737 ;        1 ;      1243 ;09/08/2022 ;16:30    ;MC               ;      1244 ;09/08/2022 ;18:35    ;MC
3302129 ;MP       ;         737 ;        1 ;      1245 ;09/08/2022 ;17:50    ;MC               ;      1246 ;09/08/2022 ;20:15    ;MC
3302149 ;MP       ;         737 ;        1 ;      1227 ;09/08/2022 ;07:15    ;MC               ;      1228 ;09/08/2022 ;09:30    ;MC
